Geneid	dmso_infect_1	dmso_infect_2	dmso_infect_3	dmso_mock_1	dmso_mock_2	dmso_mock_3	jq1_infect_1	jq1_infect_2	jq1_infect_3	jq1_mock_1	jq1_mock_2	jq1_mock_3	naive_mock_1	naive_mock_2	naive_mock_3
ENSG00000268518	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000161677	692	605	553	1102	1597	1255	473	839	784	782	831	655	1344	1195	763
ENSG00000204653	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0
ENSG00000131409	2	1	0	0	0	2	0	0	0	0	0	0	0	0	1
ENSG00000268231	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000213023	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
ENSG00000235034	0	0	0	0	3	1	0	0	0	0	0	0	1	0	1
ENSG00000161681	2	0	3	0	1	0	0	2	0	0	0	0	0	0	0
ENSG00000105472	28	34	20	69	95	66	81	197	176	176	159	108	83	68	39
ENSG00000269565	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000142511	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000261341	4	0	0	2	3	5	2	2	2	1	9	2	9	3	2
ENSG00000142513	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
ENSG00000268375	3	2	1	1	0	3	0	1	0	0	0	0	2	1	1
ENSG00000167747	3711	3434	2513	3671	4902	4847	1045	2338	1921	1798	1825	1504	4739	4082	2988
ENSG00000221381	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000221241	4	6	2	4	5	3	6	11	10	6	6	7	2	2	1
ENSG00000220988	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000284711	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
ENSG00000180279	3	6	2	2	5	7	0	2	2	1	1	2	2	1	2
ENSG00000167748	11	4	2	7	8	7	0	2	0	0	0	0	11	8	6
ENSG00000174562	0	0	0	0	0	0	0	1	0	0	0	1	1	1	0
ENSG00000267968	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000142515	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000167751	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000197588	7	3	6	4	2	2	3	3	5	2	1	0	5	1	0
ENSG00000167749	0	0	0	1	0	1	0	0	0	0	0	0	0	0	1
ENSG00000228674	1	1	0	3	3	0	2	4	5	0	0	0	0	2	0
ENSG00000167754	1	4	2	5	6	8	7	5	6	5	5	3	5	3	2
ENSG00000269495	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
ENSG00000167755	1471	1581	1044	2526	3100	3455	758	1523	1297	1493	1356	1185	2733	2390	1723
ENSG00000279676	0	1	1	1	2	1	0	1	0	0	1	1	0	4	2
ENSG00000267879	3	1	1	3	1	4	0	0	2	0	0	1	4	4	0
ENSG00000169035	86	87	66	252	370	368	23	43	42	31	35	49	266	154	135
ENSG00000129455	0	1	0	2	2	5	0	1	0	1	1	0	6	7	2
ENSG00000269741	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000213022	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000129451	831	800	610	746	1002	968	306	616	541	488	499	470	796	691	460
ENSG00000268739	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
ENSG00000167757	68	99	55	112	120	143	17	19	19	9	11	12	143	99	106
ENSG00000186474	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000268906	2	0	1	0	0	1	0	0	0	0	2	0	0	0	0
ENSG00000268390	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000167759	0	0	0	1	0	2	0	1	1	0	0	0	2	1	0
ENSG00000129437	11	7	9	16	8	10	15	15	11	5	9	15	11	11	9
ENSG00000142544	298	333	234	269	382	285	180	351	328	311	269	190	269	283	162
ENSG00000268581	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000129450	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000267990	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000168995	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000267895	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000269072	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000269681	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000171101	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000268336	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000268652	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000269253	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000278617	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000268849	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
ENSG00000105383	3	4	3	1	2	2	1	0	0	0	0	1	4	2	0
ENSG00000179213	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0
ENSG00000268595	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000268318	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000269021	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000142549	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0
ENSG00000186806	192	207	143	107	140	156	45	77	71	61	68	68	141	122	115
ENSG00000267905	0	1	3	1	5	4	0	3	1	4	0	4	5	4	6
ENSG00000267984	2	0	0	1	1	0	2	3	0	2	2	1	4	1	1
ENSG00000105379	867	975	640	1890	2536	2261	965	2036	1578	1620	1643	1358	2075	1892	1261
ENSG00000269403	2	0	0	3	1	0	0	2	1	0	0	0	1	2	1
ENSG00000268520	4	3	2	4	6	4	2	4	5	3	3	3	4	4	3
ENSG00000160318	7	6	5	16	20	15	11	15	11	10	11	10	33	34	15
ENSG00000105374	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000105370	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000262874	0	0	0	0	1	0	2	0	0	0	0	0	0	0	0
ENSG00000268889	0	1	0	1	1	4	0	0	0	0	0	0	0	0	0
ENSG00000268144	0	0	0	0	1	0	0	0	0	1	0	0	0	1	1
ENSG00000142512	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000254760	2	1	0	2	2	3	0	0	0	0	0	0	1	4	0
ENSG00000255441	1	3	0	1	1	4	0	2	0	0	0	0	1	0	2
ENSG00000268711	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000269181	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000105366	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000268957	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
ENSG00000213822	0	0	0	0	1	0	0	0	0	0	0	0	2	0	0
ENSG00000254521	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000268839	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000269580	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000105492	0	0	2	0	0	0	0	0	0	0	0	0	0	0	1
ENSG00000268777	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000269130	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000268267	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0
ENSG00000105497	202	231	172	201	205	364	175	326	256	226	244	258	222	108	193
ENSG00000269388	12	11	8	24	26	17	3	8	11	11	11	8	13	26	12
ENSG00000267808	1	0	0	0	2	1	0	0	0	0	0	1	2	0	0
ENSG00000105501	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000268500	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000244071	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000273837	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000254415	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000243469	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000269959	8	16	7	4	6	27	7	15	5	3	5	10	13	9	9
ENSG00000182310	103	98	61	136	259	229	152	237	238	228	183	203	185	113	117
ENSG00000207550	2	0	0	0	1	2	1	0	1	2	1	0	2	3	0
ENSG00000198972	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
ENSG00000208008	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
ENSG00000105509	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000171051	3	1	2	0	6	4	7	16	13	21	8	14	1	3	1
ENSG00000171049	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000286236	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000187474	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
ENSG00000161551	182	260	153	307	323	555	153	376	294	237	249	276	339	195	256
ENSG00000268316	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000269483	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000283236	4	3	3	4	7	5	2	1	4	12	1	2	6	3	5
ENSG00000268095	3	1	1	1	1	0	0	0	0	0	0	1	1	3	1
ENSG00000198093	228	294	211	152	169	300	57	115	103	68	58	77	221	138	158
ENSG00000283285	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
ENSG00000176024	181	217	127	134	154	224	64	122	85	76	67	71	129	89	87
ENSG00000269235	0	2	2	3	0	2	0	3	2	0	0	0	1	0	0
ENSG00000256683	110	128	104	134	133	228	82	134	115	112	115	111	149	88	86
ENSG00000197619	92	108	85	65	56	113	52	79	62	43	46	57	70	34	44
ENSG00000142556	218	283	182	161	201	356	79	173	180	117	126	166	219	128	208
ENSG00000256087	273	314	194	183	174	398	89	147	146	107	111	115	207	134	167
ENSG00000275055	10	10	4	13	22	27	7	15	21	22	19	14	19	13	13
ENSG00000260160	23	5	14	12	14	21	10	13	15	10	12	13	13	10	12
ENSG00000197608	363	492	289	289	381	627	177	362	368	323	240	330	410	243	305
ENSG00000270248	0	0	0	0	0	0	1	0	1	0	0	0	1	0	0
ENSG00000204611	125	148	92	126	126	245	104	168	155	123	100	110	125	85	100
ENSG00000267827	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000268458	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000243680	9	15	9	4	10	5	5	7	4	4	2	3	13	9	5
ENSG00000196267	64	78	55	90	102	133	17	45	46	38	32	48	111	54	80
ENSG00000267927	0	1	0	1	0	0	0	0	2	1	1	0	0	1	0
ENSG00000105568	7102	7111	5056	10664	13064	14306	5495	11352	9608	9335	9423	8453	11910	10174	7517
ENSG00000274380	0	0	0	2	0	1	0	1	0	2	0	0	0	0	0
ENSG00000268015	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000277562	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000207265	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000196214	409	556	348	430	447	690	239	406	344	307	287	280	469	326	357
ENSG00000208002	1	1	0	1	0	0	0	3	1	0	0	1	2	0	1
ENSG00000269102	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000198464	59	76	49	92	78	136	58	136	90	95	95	88	100	82	63
ENSG00000269535	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000167554	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000221923	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
ENSG00000269834	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
ENSG00000277977	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000167555	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0
ENSG00000269776	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000198633	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000258405	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000288253	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000278543	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000269349	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000198482	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
ENSG00000167562	2	0	0	0	1	0	0	0	0	0	0	0	0	0	0
ENSG00000242255	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000268886	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000123870	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000167766	59	87	46	79	77	150	34	74	49	47	38	91	98	61	67
ENSG00000268970	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
ENSG00000269825	0	0	0	0	0	0	0	0	2	0	0	0	0	0	1
ENSG00000213020	103	150	117	160	161	296	82	162	181	146	141	166	158	120	119
ENSG00000189190	398	467	309	336	402	689	231	472	356	351	332	401	430	246	318
ENSG00000198538	237	300	169	239	238	526	201	346	230	233	237	354	295	144	265
ENSG00000255875	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0
ENSG00000204604	301	378	267	399	446	828	224	420	354	329	310	389	414	259	355
ENSG00000182986	62	66	55	66	84	140	25	52	60	41	44	54	106	43	86
ENSG00000283695	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000213793	461	589	352	526	502	918	157	253	221	160	196	195	568	326	472
ENSG00000269646	1	2	1	1	4	9	0	1	0	1	0	0	5	4	3
ENSG00000213801	101	96	63	94	142	213	42	88	71	65	64	75	136	102	113
ENSG00000221874	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000180257	198	244	171	222	242	391	111	196	185	141	140	146	234	123	183
ENSG00000269082	1	3	1	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000242779	41	62	33	76	84	189	14	34	28	27	27	22	112	73	100
ENSG00000268282	2	1	2	2	3	1	1	4	0	1	2	0	2	0	1
ENSG00000267943	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000269526	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0
ENSG00000268964	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000170949	124	189	100	161	188	325	114	228	208	156	132	165	199	121	145
ENSG00000170954	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000197937	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000197497	0	1	1	0	0	0	1	0	3	0	0	0	1	0	0
ENSG00000268842	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000269001	140	182	122	163	195	362	101	174	192	143	103	204	190	109	178
ENSG00000267809	26	19	21	27	38	33	32	30	26	19	31	26	34	25	18
ENSG00000197928	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0
ENSG00000269288	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000196131	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000228567	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000269758	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000189348	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000163098	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000269118	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000174677	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000213799	235	343	172	157	160	317	83	169	137	80	77	113	153	86	145
ENSG00000203326	171	258	148	174	170	348	121	253	168	145	131	205	180	82	159
ENSG00000241069	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000196417	229	290	183	206	225	447	140	255	223	180	185	254	240	130	189
ENSG00000239912	4	3	3	6	9	10	3	5	2	8	6	5	7	6	6
ENSG00000249435	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000241015	151	157	117	159	202	284	50	96	107	75	75	90	219	131	135
ENSG00000160336	164	246	135	222	212	367	146	238	219	179	163	229	177	124	170
ENSG00000287608	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000198346	1	0	0	0	0	2	0	1	0	0	0	0	0	2	1
ENSG00000250731	16	38	23	19	29	41	9	22	9	20	10	12	26	21	30
ENSG00000241434	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000213777	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0
ENSG00000274892	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000130844	62	89	44	80	95	137	10	14	16	9	14	10	100	63	70
ENSG00000268864	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000269608	1	0	0	3	2	1	1	1	1	0	1	1	1	2	0
ENSG00000242668	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000204595	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
ENSG00000200393	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000270347	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000207645	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000207644	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000221017	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000207869	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000207599	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000207616	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000207810	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000283540	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000207615	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000207788	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000221421	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000207594	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000207580	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000207825	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000207711	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000283455	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000207706	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000207722	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000207862	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000207629	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000207738	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000283490	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000283289	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000207734	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000207981	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000207549	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000251843	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000207735	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000207837	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000207799	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000207925	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000211532	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000207987	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000207803	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000252734	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000283330	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000207946	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000207699	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
